Team,Season,Team Mapped
Atlanta Hawks,2001,Atlanta Hawks
Boston Celtics,2001,Boston Celtics
Charlotte Hornets,2001,New Orleans Pelicans
Chicago Bulls,2001,Chicago Bulls
Cleveland Cavaliers,2001,Cleveland Cavaliers
Dallas Mavericks,2001,Dallas Mavericks
Denver Nuggets,2001,Denver Nuggets
Detroit Pistons,2001,Detroit Pistons
Golden State Warriors,2001,Golden State Warriors
Houston Rockets,2001,Houston Rockets
Indiana Pacers,2001,Indiana Pacers
Los Angeles Clippers,2001,Los Angeles Clippers
Los Angeles Lakers,2001,Los Angeles Lakers
Miami Heat,2001,Miami Heat
Milwaukee Bucks,2001,Milwaukee Bucks
Minnesota Timberwolves,2001,Minnesota Timberwolves
New Jersey Nets,2001,Brooklyn Nets
New York Knicks,2001,New York Knicks
Orlando Magic,2001,Orlando Magic
Philadelphia 76ers,2001,Philadelphia 76ers
Phoenix Suns,2001,Phoenix Suns
Portland Trail Blazers,2001,Portland Trail Blazers
Sacramento Kings,2001,Sacramento Kings
San Antonio Spurs,2001,San Antonio Spurs
Seattle SuperSonics,2001,Oklahoma City Thunder
Toronto Raptors,2001,Toronto Raptors
Utah Jazz,2001,Utah Jazz
Vancouver Grizzlies,2001,Memphis Grizzlies
Washington Wizards,2001,Washington Wizards
Atlanta Hawks,2002,Atlanta Hawks
Boston Celtics,2002,Boston Celtics
Charlotte Hornets,2002,New Orleans Pelicans
Chicago Bulls,2002,Chicago Bulls
Cleveland Cavaliers,2002,Cleveland Cavaliers
Dallas Mavericks,2002,Dallas Mavericks
Denver Nuggets,2002,Denver Nuggets
Detroit Pistons,2002,Detroit Pistons
Golden State Warriors,2002,Golden State Warriors
Houston Rockets,2002,Houston Rockets
Indiana Pacers,2002,Indiana Pacers
Los Angeles Clippers,2002,Los Angeles Clippers
Los Angeles Lakers,2002,Los Angeles Lakers
Memphis Grizzlies,2002,Memphis Grizzlies
Miami Heat,2002,Miami Heat
Milwaukee Bucks,2002,Milwaukee Bucks
Minnesota Timberwolves,2002,Minnesota Timberwolves
New Jersey Nets,2002,Brooklyn Nets
New York Knicks,2002,New York Knicks
Orlando Magic,2002,Orlando Magic
Philadelphia 76ers,2002,Philadelphia 76ers
Phoenix Suns,2002,Phoenix Suns
Portland Trail Blazers,2002,Portland Trail Blazers
Sacramento Kings,2002,Sacramento Kings
San Antonio Spurs,2002,San Antonio Spurs
Seattle SuperSonics,2002,Oklahoma City Thunder
Toronto Raptors,2002,Toronto Raptors
Utah Jazz,2002,Utah Jazz
Washington Wizards,2002,Washington Wizards
Atlanta Hawks,2003,Atlanta Hawks
Boston Celtics,2003,Boston Celtics
Chicago Bulls,2003,Chicago Bulls
Cleveland Cavaliers,2003,Cleveland Cavaliers
Dallas Mavericks,2003,Dallas Mavericks
Denver Nuggets,2003,Denver Nuggets
Detroit Pistons,2003,Detroit Pistons
Golden State Warriors,2003,Golden State Warriors
Houston Rockets,2003,Houston Rockets
Indiana Pacers,2003,Indiana Pacers
Los Angeles Clippers,2003,Los Angeles Clippers
Los Angeles Lakers,2003,Los Angeles Lakers
Memphis Grizzlies,2003,Memphis Grizzlies
Miami Heat,2003,Miami Heat
Milwaukee Bucks,2003,Milwaukee Bucks
Minnesota Timberwolves,2003,Minnesota Timberwolves
New Jersey Nets,2003,Brooklyn Nets
New Orleans Hornets,2003,New Orleans Pelicans
New York Knicks,2003,New York Knicks
Orlando Magic,2003,Orlando Magic
Philadelphia 76ers,2003,Philadelphia 76ers
Phoenix Suns,2003,Phoenix Suns
Portland Trail Blazers,2003,Portland Trail Blazers
Sacramento Kings,2003,Sacramento Kings
San Antonio Spurs,2003,San Antonio Spurs
Seattle SuperSonics,2003,Oklahoma City Thunder
Toronto Raptors,2003,Toronto Raptors
Utah Jazz,2003,Utah Jazz
Washington Wizards,2003,Washington Wizards
Atlanta Hawks,2004,Atlanta Hawks
Boston Celtics,2004,Boston Celtics
Chicago Bulls,2004,Chicago Bulls
Cleveland Cavaliers,2004,Cleveland Cavaliers
Dallas Mavericks,2004,Dallas Mavericks
Denver Nuggets,2004,Denver Nuggets
Detroit Pistons,2004,Detroit Pistons
Golden State Warriors,2004,Golden State Warriors
Houston Rockets,2004,Houston Rockets
Indiana Pacers,2004,Indiana Pacers
Los Angeles Clippers,2004,Los Angeles Clippers
Los Angeles Lakers,2004,Los Angeles Lakers
Memphis Grizzlies,2004,Memphis Grizzlies
Miami Heat,2004,Miami Heat
Milwaukee Bucks,2004,Milwaukee Bucks
Minnesota Timberwolves,2004,Minnesota Timberwolves
New Jersey Nets,2004,Brooklyn Nets
New Orleans Hornets,2004,New Orleans Pelicans
New York Knicks,2004,New York Knicks
Orlando Magic,2004,Orlando Magic
Philadelphia 76ers,2004,Philadelphia 76ers
