FG,Dist,portion_from_2,portion_from_0_to_3,portion_from_3_to_10,portion_from_10_to_16,portion_from_over_16,portion_from_3,portion_from_3_corner,portion_from_3_top,percentage_from_2,percentage_from_0_to_3,percentage_from_3_to_10,percentage_from_10_to_16,percentage_from_over_16,percentage_from_3,percentage_from_3_corner,percentage_from_3_top,portion_assisted_2,portion_assisted_3,heaves_attempted,heaves_made,year,Team
0.457,12.5,0.778,0.308,0.124,0.111,0.235,0.222,0.058608,0.163392,0.484,0.607,0.408,0.391,0.409,0.362,0.395,0.350163043,0.523,0.867,15.6,0.3,2008,All Teams
0.442,12.1,0.818,0.286,0.15,0.146,0.236,0.182,0.046774,0.135226,0.463,0.603,0.384,0.388,0.389,0.349,0.369,0.3420821,0.56,0.852,12,0.2,2003,All Teams
0.454,12.8,0.741,0.286,0.169,0.105,0.18,0.259,0.064232,0.194768,0.488,0.636,0.39,0.401,0.395,0.36,0.39,0.350106383,0.518,0.837,14.8,0.5,2014,All Teams
0.452,12.5,0.715,0.293,0.158,0.103,0.162,0.285,0.07068,0.21432,0.491,0.624,0.396,0.405,0.398,0.354,0.377,0.346414894,0.51,0.836,14.7,0.5,2016,All Teams
0.448,12.5,0.774,0.287,0.169,0.11,0.208,0.226,0.058986,0.167014,0.477,0.634,0.378,0.388,0.388,0.349,0.376,0.339464141,0.518,0.843,10.1,0.3,2012,All Teams
0.459,12.4,0.776,0.314,0.124,0.111,0.227,0.224,0.061376,0.162624,0.485,0.602,0.412,0.395,0.407,0.367,0.395,0.356432507,0.501,0.859,14.8,0.3,2009,All Teams
0.454,12.2,0.798,0.309,0.133,0.119,0.236,0.202,0.05454,0.14746,0.478,0.601,0.4,0.391,0.405,0.358,0.39,0.346164384,0.523,0.851,12.4,0.3,2006,All Teams
0.46,13.2,0.663,0.281,0.156,0.106,0.12,0.337,0.070096,0.266904,0.51,0.658,0.394,0.415,0.4,0.362,0.394,0.35359596,0.499,0.83,17.5,0.2,2018,All Teams
0.439,12,0.813,0.297,0.147,0.141,0.229,0.187,0.048807,0.138193,0.46,0.592,0.382,0.377,0.388,0.347,0.378,0.336051421,0.565,0.857,11.6,0.3,2004,All Teams
0.453,12.6,0.757,0.293,0.164,0.107,0.193,0.243,0.065124,0.177876,0.483,0.631,0.381,0.395,0.393,0.359,0.39,0.347650273,0.535,0.851,14,0.3,2013,All Teams
0.459,12.6,0.778,0.276,0.178,0.11,0.214,0.222,0.05994,0.16206,0.487,0.65,0.392,0.398,0.403,0.358,0.394,0.344684932,0.518,0.86,15.7,0.5,2011,All Teams
0.458,12.2,0.787,0.314,0.131,0.113,0.229,0.213,0.057723,0.155277,0.485,0.61,0.411,0.392,0.404,0.358,0.384,0.348334705,0.527,0.863,12.6,0.3,2007,All Teams
0.447,12.1,0.804,0.304,0.135,0.129,0.236,0.196,0.053312,0.142688,0.47,0.596,0.391,0.383,0.4,0.356,0.384,0.345538462,0.544,0.854,12.1,0.1,2005,All Teams
0.449,12.8,0.732,0.288,0.165,0.103,0.175,0.268,0.067804,0.200196,0.485,0.628,0.383,0.403,0.394,0.35,0.387,0.337468541,0.52,0.843,14.4,0.4,2015,All Teams
0.457,13.3,0.684,0.29,0.152,0.099,0.142,0.316,0.072048,0.243952,0.503,0.631,0.414,0.412,0.403,0.358,0.388,0.349139896,0.495,0.835,16.8,0.3,2017,All Teams
0.445,12,0.819,0.287,0.148,0.153,0.23,0.181,0.042535,0.138465,0.465,0.605,0.382,0.388,0.397,0.354,0.384,0.344784314,0.564,0.856,10.8,0.3,2002,All Teams
0.443,12,0.83,0.273,0.168,0.158,0.232,0.17,0.04063,0.12937,0.461,0.619,0.359,0.385,0.4,0.354,0.381,0.345520368,0.572,0.852,10.3,0.4,2001,All Teams
0.461,12.2,0.778,0.32,0.129,0.11,0.218,0.222,0.057276,0.164724,0.492,0.613,0.421,0.4,0.402,0.355,0.392,0.342134771,0.505,0.847,15.9,0.6,2010,All Teams
0.431,11.4,0.86,0.258,0.19,0.214,0.198,0.14,0.03192,0.10808,0.443,0.612,0.32,0.387,0.403,0.357,0.371,0.352865285,0.507,0.811,10,1,2001,Atlanta Hawks
0.466,13.2,0.679,0.29,0.158,0.08,0.151,0.321,0.088275,0.232725,0.506,0.636,0.392,0.386,0.441,0.38,0.421,0.364448276,0.591,0.918,3,0,2015,Atlanta Hawks
0.458,13.3,0.747,0.267,0.16,0.101,0.219,0.253,0.072105,0.180895,0.49,0.627,0.461,0.403,0.384,0.366,0.4,0.352447552,0.483,0.868,17,0,2009,Atlanta Hawks
0.444,11.9,0.823,0.269,0.158,0.181,0.214,0.177,0.048852,0.128148,0.464,0.584,0.381,0.423,0.41,0.352,0.397,0.334845304,0.543,0.856,9,0,2003,Atlanta Hawks
0.439,11.1,0.819,0.328,0.153,0.146,0.193,0.181,0.046155,0.134845,0.458,0.583,0.349,0.363,0.4,0.354,0.354,0.354,0.525,0.839,5,0,2002,Atlanta Hawks
0.464,13.4,0.714,0.281,0.152,0.073,0.208,0.286,0.075504,0.210496,0.501,0.678,0.382,0.387,0.389,0.371,0.426,0.351271739,0.585,0.874,12,0,2013,Atlanta Hawks
0.433,11.7,0.809,0.303,0.148,0.153,0.205,0.191,0.055772,0.135228,0.456,0.577,0.371,0.363,0.409,0.335,0.37,0.320564972,0.537,0.845,2,0,2004,Atlanta Hawks
0.462,13.5,0.778,0.233,0.175,0.097,0.274,0.222,0.077478,0.144522,0.494,0.649,0.434,0.39,0.436,0.352,0.38,0.336989247,0.55,0.882,13,1,2011,Atlanta Hawks
0.451,13,0.691,0.331,0.117,0.092,0.151,0.309,0.072306,0.236694,0.501,0.616,0.349,0.394,0.429,0.341,0.388,0.326642298,0.542,0.879,12,0,2017,Atlanta Hawks
0.446,13.6,0.637,0.279,0.131,0.105,0.122,0.363,0.088209,0.274791,0.495,0.635,0.351,0.399,0.411,0.36,0.426,0.338813738,0.52,0.869,22,0,2018,Atlanta Hawks
0.441,10.4,0.854,0.371,0.141,0.139,0.204,0.146,0.03869,0.10731,0.463,0.579,0.341,0.331,0.426,0.312,0.295,0.318129252,0.511,0.872,16,0,2005,Atlanta Hawks
0.454,13.2,0.751,0.277,0.153,0.074,0.247,0.249,0.08466,0.16434,0.482,0.63,0.43,0.397,0.373,0.37,0.398,0.355575758,0.532,0.915,8,1,2012,Atlanta Hawks
0.454,11.5,0.835,0.339,0.14,0.096,0.261,0.165,0.04125,0.12375,0.473,0.602,0.414,0.342,0.386,0.356,0.387,0.345666667,0.572,0.836,17,1,2008,Atlanta Hawks
0.444,11.7,0.837,0.356,0.097,0.09,0.294,0.163,0.041239,0.121761,0.467,0.572,0.385,0.398,0.387,0.329,0.373,0.314097724,0.518,0.833,8,0,2007,Atlanta Hawks
0.458,12.7,0.664,0.326,0.121,0.078,0.138,0.336,0.081984,0.254016,0.512,0.623,0.377,0.431,0.415,0.35,0.36,0.346772487,0.582,0.896,12,1,2016,Atlanta Hawks
0.458,13.4,0.684,0.263,0.174,0.102,0.145,0.316,0.084688,0.231312,0.502,0.643,0.409,0.419,0.413,0.363,0.386,0.354579235,0.598,0.87,13,1,2014,Atlanta Hawks
0.468,12.3,0.786,0.296,0.167,0.087,0.237,0.214,0.083032,0.130968,0.497,0.638,0.435,0.417,0.394,0.36,0.36,0.36,0.51,0.828,18,1,2010,Atlanta Hawks
0.454,11.3,0.822,0.342,0.132,0.118,0.231,0.178,0.049484,0.128516,0.472,0.583,0.371,0.377,0.414,0.367,0.383,0.360839335,0.504,0.837,11,0,2006,Atlanta Hawks
0.454,14.2,0.607,0.296,0.129,0.071,0.111,0.393,0.08646,0.30654,0.515,0.633,0.395,0.417,0.405,0.359,0.41,0.344615385,0.57,0.836,20,0,2017,Boston Celtics
0.465,12.9,0.785,0.287,0.13,0.128,0.239,0.215,0.072885,0.142115,0.494,0.623,0.357,0.446,0.439,0.358,0.399,0.336972769,0.555,0.914,22,0,2013,Boston Celtics
0.46,12.9,0.806,0.28,0.116,0.145,0.266,0.194,0.059946,0.134054,0.483,0.637,0.333,0.418,0.42,0.367,0.439,0.334803184,0.62,0.909,4,0,2012,Boston Celtics
0.486,12.1,0.82,0.313,0.14,0.113,0.254,0.18,0.0468,0.1332,0.513,0.674,0.376,0.445,0.42,0.365,0.467,0.329162162,0.597,0.882,8,0,2011,Boston Celtics
0.443,12,0.801,0.317,0.152,0.102,0.23,0.199,0.053929,0.145071,0.462,0.585,0.379,0.368,0.388,0.367,0.414,0.349528121,0.499,0.93,12,0,2007,Boston Celtics
0.486,12.1,0.786,0.332,0.123,0.109,0.223,0.214,0.064414,0.149586,0.51,0.633,0.402,0.411,0.434,0.397,0.446,0.375899857,0.541,0.911,5,0,2009,Boston Celtics
0.443,13,0.751,0.285,0.126,0.118,0.222,0.249,0.064491,0.184509,0.475,0.608,0.35,0.394,0.42,0.346,0.394,0.329222672,0.524,0.875,10,0,2004,Boston Celtics
0.435,13.3,0.749,0.273,0.148,0.109,0.219,0.251,0.060742,0.190258,0.47,0.607,0.348,0.424,0.403,0.333,0.39,0.314802111,0.51,0.852,15,0,2014,Boston Celtics
0.475,12.7,0.751,0.32,0.118,0.102,0.211,0.249,0.062997,0.186003,0.506,0.615,0.405,0.405,0.447,0.381,0.41,0.371178046,0.549,0.874,15,0,2008,Boston Celtics
0.439,12.4,0.707,0.318,0.141,0.094,0.154,0.293,0.067976,0.225024,0.483,0.624,0.355,0.378,0.373,0.335,0.345,0.331979167,0.546,0.856,12,0,2016,Boston Celtics
0.443,13.3,0.72,0.279,0.145,0.103,0.193,0.28,0.05712,0.22288,0.488,0.623,0.383,0.408,0.416,0.327,0.374,0.314954774,0.565,0.877,16,0,2015,Boston Celtics
0.468,11.3,0.808,0.364,0.119,0.113,0.212,0.192,0.056832,0.135168,0.496,0.614,0.36,0.379,0.433,0.349,0.381,0.335545455,0.543,0.899,12,0,2005,Boston Celtics
