Team,year,Distance,Frequency
All Teams,2001,0-3 ft,0.273
All Teams,2001,3-10 ft,0.168
All Teams,2001,10-16 ft,0.158
All Teams,2001,Over 16 ft,0.232
All Teams,2001,3P Corner,0.04063
All Teams,2001,3P Top,0.12937
All Teams,2002,0-3 ft,0.287
All Teams,2002,3-10 ft,0.148
All Teams,2002,10-16 ft,0.153
All Teams,2002,Over 16 ft,0.23
All Teams,2002,3P Corner,0.042535
All Teams,2002,3P Top,0.138465
All Teams,2003,0-3 ft,0.286
All Teams,2003,3-10 ft,0.15
All Teams,2003,10-16 ft,0.146
All Teams,2003,Over 16 ft,0.236
All Teams,2003,3P Corner,0.046774
All Teams,2003,3P Top,0.135226
All Teams,2004,0-3 ft,0.297
All Teams,2004,3-10 ft,0.147
All Teams,2004,10-16 ft,0.141
All Teams,2004,Over 16 ft,0.229
All Teams,2004,3P Corner,0.048807
All Teams,2004,3P Top,0.138193
All Teams,2005,0-3 ft,0.304
All Teams,2005,3-10 ft,0.135
All Teams,2005,10-16 ft,0.129
All Teams,2005,Over 16 ft,0.236
All Teams,2005,3P Corner,0.053312
All Teams,2005,3P Top,0.142688
All Teams,2006,0-3 ft,0.309
All Teams,2006,3-10 ft,0.133
All Teams,2006,10-16 ft,0.119
All Teams,2006,Over 16 ft,0.236
All Teams,2006,3P Corner,0.05454
All Teams,2006,3P Top,0.14746
All Teams,2007,0-3 ft,0.314
All Teams,2007,3-10 ft,0.131
All Teams,2007,10-16 ft,0.113
All Teams,2007,Over 16 ft,0.229
All Teams,2007,3P Corner,0.057723
All Teams,2007,3P Top,0.155277
All Teams,2008,0-3 ft,0.308
All Teams,2008,3-10 ft,0.124
All Teams,2008,10-16 ft,0.111
All Teams,2008,Over 16 ft,0.235
All Teams,2008,3P Corner,0.058608
All Teams,2008,3P Top,0.163392
All Teams,2009,0-3 ft,0.314
All Teams,2009,3-10 ft,0.124
All Teams,2009,10-16 ft,0.111
All Teams,2009,Over 16 ft,0.227
All Teams,2009,3P Corner,0.061376
All Teams,2009,3P Top,0.162624
All Teams,2010,0-3 ft,0.32
All Teams,2010,3-10 ft,0.129
All Teams,2010,10-16 ft,0.11
All Teams,2010,Over 16 ft,0.218
All Teams,2010,3P Corner,0.057276
All Teams,2010,3P Top,0.164724
All Teams,2011,0-3 ft,0.276
All Teams,2011,3-10 ft,0.178
All Teams,2011,10-16 ft,0.11
All Teams,2011,Over 16 ft,0.214
All Teams,2011,3P Corner,0.05994
All Teams,2011,3P Top,0.16206
All Teams,2012,0-3 ft,0.287
All Teams,2012,3-10 ft,0.169
All Teams,2012,10-16 ft,0.11
All Teams,2012,Over 16 ft,0.208
All Teams,2012,3P Corner,0.058986
All Teams,2012,3P Top,0.167014
All Teams,2013,0-3 ft,0.293
All Teams,2013,3-10 ft,0.164
All Teams,2013,10-16 ft,0.107
All Teams,2013,Over 16 ft,0.193
All Teams,2013,3P Corner,0.065124
All Teams,2013,3P Top,0.177876
All Teams,2014,0-3 ft,0.286
All Teams,2014,3-10 ft,0.169
All Teams,2014,10-16 ft,0.105
All Teams,2014,Over 16 ft,0.18
All Teams,2014,3P Corner,0.064232
All Teams,2014,3P Top,0.194768
All Teams,2015,0-3 ft,0.288
All Teams,2015,3-10 ft,0.165
All Teams,2015,10-16 ft,0.103
All Teams,2015,Over 16 ft,0.175
All Teams,2015,3P Corner,0.067804
All Teams,2015,3P Top,0.200196
All Teams,2016,0-3 ft,0.293
All Teams,2016,3-10 ft,0.158
All Teams,2016,10-16 ft,0.103
All Teams,2016,Over 16 ft,0.162
All Teams,2016,3P Corner,0.07068
All Teams,2016,3P Top,0.21432
All Teams,2017,0-3 ft,0.29
All Teams,2017,3-10 ft,0.152
All Teams,2017,10-16 ft,0.099
All Teams,2017,Over 16 ft,0.142
All Teams,2017,3P Corner,0.072048
All Teams,2017,3P Top,0.243952
All Teams,2018,0-3 ft,0.281
All Teams,2018,3-10 ft,0.156
All Teams,2018,10-16 ft,0.106
All Teams,2018,Over 16 ft,0.12
All Teams,2018,3P Corner,0.070096
All Teams,2018,3P Top,0.266904
Atlanta Hawks,2001,0-3 ft,0.258
Atlanta Hawks,2001,3-10 ft,0.19
Atlanta Hawks,2001,10-16 ft,0.214
Atlanta Hawks,2001,Over 16 ft,0.198
Atlanta Hawks,2001,3P Corner,0.03192
Atlanta Hawks,2001,3P Top,0.10808
Atlanta Hawks,2002,0-3 ft,0.328
Atlanta Hawks,2002,3-10 ft,0.153
Atlanta Hawks,2002,10-16 ft,0.146
Atlanta Hawks,2002,Over 16 ft,0.193
Atlanta Hawks,2002,3P Corner,0.046155
