Rk,Conf,Div,W,L,W_percentage,Unadjusted_MOV,Unadjusted_ORtg,Unadjusted_DRtg,Unadjusted_NRtg,Adjusted_MOV,Adjusted_ORtg,Adjusted_DRtg,Adjusted_NRtg,Season,Team
26,E,C,25,57,0.305,-5.21,99.51,105.17,-5.66,-5.55,99.38,105.43,-6.04,2001,Atlanta Hawks
24,E,C,33,49,0.402,-4.23,102.72,107.4,-4.68,-4.41,102.83,107.73,-4.9,2002,Atlanta Hawks
24,E,C,35,47,0.427,-3.56,103.1,106.96,-3.86,-3.87,103.07,107.27,-4.19,2003,Atlanta Hawks
26,E,C,28,54,0.341,-4.65,101.91,107.01,-5.11,-5,102.02,107.51,-5.49,2004,Atlanta Hawks
30,E,SE,13,69,0.159,-9.71,101.23,111.99,-10.76,-9.62,101.45,112.09,-10.64,2005,Atlanta Hawks
28,E,SE,26,56,0.317,-4.76,107.2,112.46,-5.26,-4.69,107.29,112.47,-5.17,2006,Atlanta Hawks
30,E,SE,30,52,0.366,-4.76,103.83,109.24,-5.41,-4.86,103.98,109.5,-5.52,2007,Atlanta Hawks
20,E,SE,37,45,0.451,-1.82,107.6,109.52,-1.92,-2.23,107.44,109.81,-2.37,2008,Atlanta Hawks
10,E,SE,47,35,0.573,1.57,110.28,108.43,1.84,1.7,110.49,108.51,1.98,2009,Atlanta Hawks
7,E,SE,53,29,0.646,4.66,112.6,107.6,5,4.44,112.67,107.91,4.77,2010,Atlanta Hawks
18,E,SE,44,38,0.537,-0.82,107.01,107.96,-0.95,-1.1,107.03,108.29,-1.26,2011,Atlanta Hawks
9,E,SE,40,26,0.606,3.44,105.74,102.04,3.7,2.67,105.57,102.72,2.85,2012,Atlanta Hawks
16,E,SE,44,38,0.537,0.4,105.5,105.14,0.37,-0.07,105.39,105.54,-0.15,2013,Atlanta Hawks
16,E,SE,38,44,0.463,-0.48,106.71,107.26,-0.56,-0.88,106.74,107.71,-0.97,2014,Atlanta Hawks
4,E,SE,60,22,0.732,5.43,110,103.98,6.02,4.75,109.85,104.56,5.29,2015,Atlanta Hawks
7,E,SE,48,34,0.585,3.61,105.75,102,3.75,3.49,105.74,102.12,3.62,2016,Atlanta Hawks
20,E,SE,43,39,0.524,-0.85,105.55,106.54,-0.99,-1.23,105.32,106.69,-1.37,2017,Atlanta Hawks
26,E,SE,24,58,0.293,-5.45,105.74,111.21,-5.47,-5.3,105.81,111.12,-5.31,2018,Atlanta Hawks
22,E,A,36,46,0.439,-2.13,102.41,104.8,-2.39,-2.4,102.45,105.14,-2.68,2001,Boston Celtics
9,E,A,49,33,0.598,2.21,104.1,101.7,2.4,1.74,103.95,102.08,1.87,2002,Boston Celtics
19,E,A,44,38,0.537,-0.39,101.9,102.33,-0.43,-0.75,101.78,102.59,-0.81,2003,Boston Celtics
20,E,A,36,46,0.439,-1.45,102.76,104.39,-1.63,-1.99,102.66,104.89,-2.23,2004,Boston Celtics
14,E,A,45,37,0.549,0.87,108.31,107.4,0.91,0.34,108.27,107.92,0.35,2005,Boston Celtics
20,E,A,33,49,0.402,-1.54,106.12,107.86,-1.73,-1.59,106.05,107.83,-1.78,2006,Boston Celtics
25,E,A,24,58,0.293,-3.41,104.07,107.96,-3.89,-3.71,103.98,108.18,-4.19,2007,Boston Celtics
1,E,A,66,16,0.805,10.26,111.1,99.75,11.35,9.31,110.55,100.23,10.32,2008,Boston Celtics
2,E,A,62,20,0.756,7.51,111.25,103.02,8.24,7.44,111.21,103.05,8.16,2009,Boston Celtics
11,E,A,50,32,0.61,3.66,108.65,104.62,4.03,3.37,108.5,104.79,3.72,2010,Boston Celtics
6,E,A,56,26,0.683,5.37,107.36,101.46,5.9,4.83,107.03,101.73,5.3,2011,Boston Celtics
12,E,A,39,27,0.591,2.52,102.12,99.34,2.78,2.26,102.19,99.69,2.5,2012,Boston Celtics
17,E,A,41,40,0.506,-0.22,104.07,104.4,-0.32,-0.62,103.77,104.51,-0.75,2013,Boston Celtics
26,E,A,25,57,0.305,-4.46,103.82,108.63,-4.81,-4.98,103.69,109.03,-5.34,2014,Boston Celtics
19,E,A,40,42,0.488,0.16,105.32,105.17,0.15,-0.4,105.14,105.58,-0.44,2015,Boston Celtics
8,E,A,48,34,0.585,3.21,107.3,104.1,3.2,2.84,107.24,104.43,2.81,2016,Boston Celtics
8,E,A,53,29,0.646,2.63,111.88,109.16,2.72,2.25,111.81,109.49,2.33,2017,Boston Celtics
7,E,A,55,27,0.671,3.59,108.4,104.65,3.75,3.24,108.14,104.75,3.39,2018,Boston Celtics
25,E,A,26,56,0.317,-5.05,100.78,106.41,-5.63,-5.3,100.86,106.77,-5.91,2001,Brooklyn Nets
6,E,A,52,30,0.634,4.16,104.78,100.28,4.5,3.67,104.65,100.71,3.94,2002,Brooklyn Nets
4,E,A,49,33,0.598,5.22,104.42,98.8,5.62,4.42,103.93,99.18,4.75,2003,Brooklyn Nets
10,E,A,47,35,0.573,2.5,101.76,99.05,2.71,1.88,101.52,99.49,2.03,2004,Brooklyn Nets
21,E,A,42,40,0.512,-1.5,102.29,104.02,-1.73,-1.82,102.11,104.18,-2.07,2005,Brooklyn Nets
13,E,A,49,33,0.598,1.37,104.66,103.24,1.42,1.11,104.24,103.1,1.15,2006,Brooklyn Nets
16,E,A,41,41,0.5,-0.77,106.45,107.43,-0.97,-1,106.49,107.7,-1.22,2007,Brooklyn Nets
23,E,A,34,48,0.415,-5.06,104.61,110.25,-5.64,-5.15,104.6,110.32,-5.72,2008,Brooklyn Nets
22,E,A,34,48,0.415,-2.44,109.14,111.85,-2.71,-2.31,109.33,111.89,-2.56,2009,Brooklyn Nets
30,E,A,12,70,0.146,-9.12,101.54,111.56,-10.02,-8.93,101.75,111.54,-9.79,2010,Brooklyn Nets
28,E,A,24,58,0.293,-6.24,103.99,110.94,-6.95,-6.28,104.11,111.1,-6.99,2011,Brooklyn Nets
28,E,A,22,44,0.333,-5.98,103.77,110.52,-6.75,-6.37,103.99,111.17,-7.18,2012,Brooklyn Nets
12,E,A,49,33,0.598,1.78,109.1,107.14,1.96,1.25,109.1,107.71,1.39,2013,Brooklyn Nets
20,E,A,44,38,0.537,-1,107.42,108.63,-1.21,-1.58,107.36,109.16,-1.8,2014,Brooklyn Nets
23,E,A,38,44,0.463,-2.88,105.15,108.19,-3.05,-3.13,105.17,108.48,-3.31,2015,Brooklyn Nets
28,E,A,21,61,0.256,-7.35,103.74,111.6,-7.86,-7.11,104.06,111.66,-7.61,2016,Brooklyn Nets
29,E,A,20,62,0.244,-6.73,104.61,111.34,-6.73,-6.74,104.63,111.37,-6.74,2017,Brooklyn Nets
24,E,A,28,54,0.341,-3.74,107.71,111.51,-3.8,-3.67,107.83,111.55,-3.72,2018,Brooklyn Nets
28,E,SE,18,64,0.22,-5.99,101.91,108.4,-6.49,-6.15,101.87,108.54,-6.67,2005,Charlotte Hornets
27,E,SE,26,56,0.317,-4,103.14,107.48,-4.33,-3.9,103.06,107.27,-4.21,2006,Charlotte Hornets
27,E,SE,33,49,0.402,-3.74,104.29,108.34,-4.04,-3.97,104.23,108.52,-4.3,2007,Charlotte Hornets
22,E,SE,32,50,0.39,-4.38,105.39,110.22,-4.83,-4.48,105.43,110.36,-4.93,2008,Charlotte Hornets
20,E,SE,35,47,0.427,-1.27,105.42,107.01,-1.59,-1.19,105.43,106.93,-1.5,2009,Charlotte Hornets
15,E,SE,44,38,0.537,1.46,105.26,103.87,1.39,1.3,105.2,103.97,1.22,2010,Charlotte Hornets
24,E,SE,34,48,0.415,-4,104.32,108.92,-4.6,-4.08,104.43,109.11,-4.67,2011,Charlotte Hornets
30,E,SE,7,59,0.106,-13.91,95.85,111.26,-15.41,-13.96,96.12,111.59,-15.46,2012,Charlotte Hornets
30,E,SE,21,61,0.256,-9.23,102.34,112.51,-10.17,-9.29,102.59,112.82,-10.23,2013,Charlotte Hornets
17,E,SE,43,39,0.524,-0.22,104.31,104.61,-0.29,-0.89,104.04,105.03,-0.99,2014,Charlotte Hornets
25,E,SE,33,49,0.402,-3.17,100.92,104.44,-3.52,-3.44,100.75,104.55,-3.79,2015,Charlotte Hornets
9,E,SE,48,34,0.585,2.72,107.72,105.01,2.71,2.36,107.67,105.33,2.34,2016,Charlotte Hornets
14,E,SE,36,46,0.439,0.2,109.57,109.31,0.25,-0.06,109.53,109.55,-0.02,2017,Charlotte Hornets
18,E,SE,36,46,0.439,0.26,109.95,109.72,0.23,0.07,109.93,109.89,0.04,2018,Charlotte Hornets
29,E,C,15,67,0.183,-9.1,98.12,108.33,-10.21,-9.09,98.32,108.52,-10.19,2001,Chicago Bulls
29,E,C,21,61,0.256,-8.54,99.05,108.56,-9.51,-8.52,99.21,108.72,-9.5,2002,Chicago Bulls
25,E,C,30,52,0.366,-5.13,101.03,106.3,-5.27,-5.3,100.99,106.45,-5.47,2003,Chicago Bulls
28,E,C,23,59,0.28,-6.35,97.49,104.38,-6.88,-6.69,97.42,104.67,-7.25,2004,Chicago Bulls
